rule,d,n,p,mu_star,nD_star,nI_star,PoA,calc_time_sec
sv,5,5,0.6,0.6699999999999999,5,1,219.65969738238945,678.2537970542908
sv,5,5,0.65,0.6752631578947368,1,4,279.83618097450983,612.5792968273163
sv,5,5,0.7,0.6805263157894736,5,4,351.6647552845238,538.3958539962769
sv,5,5,0.75,0.6857894736842105,4,4,436.63199872200255,471.7760248184204
sv,5,5,0.7999999999999999,0.6905263157894735,5,4,536.2841316233993,395.411297082901
sv,5,5,0.85,0.6957894736842104,2,4,652.3895996843561,264.20077300071716
sv,5,5,0.9,0.6957894736842104,1,2,786.6950669284518,222.73366498947144
sv,5,5,0.95,0.7010526315789473,5,1,941.1635808265718,167.02094292640686
sv,5,5,1.0,0.7010526315789473,4,5,1117.93233705549,76.98225498199463
sv,5,10,0.05,0.4321428571428571,10,10,3.4611702066804764,14803.778361082075
sv,5,10,0.1,0.433609022556391,10,10,5.474573777703147,14723.980403900146
sv,5,10,0.15,0.5201503759398497,9,10,8.47163140382926,10778.86589384079
sv,5,10,0.2,0.5502631578947368,1,3,13.393994473182852,5209.505606174469
sv,5,10,0.25,0.576578947368421,2,2,21.67240816820638,4566.2424058914185
sv,5,10,0.3,0.6028947368421053,7,9,33.270507577186024,4259.807839870453
sv,5,10,0.35,0.6186842105263158,6,3,48.9286356613364,4037.4497702121735
sv,5,10,0.3999999999999999,0.6330075187969925,3,5,69.46235241364985,3597.8541588783264
sv,5,10,0.4499999999999999,0.6435338345864662,7,8,95.77103735306616,3273.0098402500153
sv,5,10,0.4999999999999999,0.6540601503759399,1,2,128.83958886993298,2559.9885971546173
sv,5,10,0.5499999999999999,0.6593233082706768,6,6,169.7436534381318,2897.0685029029846
sv,5,10,0.6,0.6698496240601505,8,5,219.6594355943595,2623.299089193344
sv,5,10,0.65,0.6751127819548873,2,9,279.83928062722595,2223.082983970642
sv,5,10,0.7,0.6803759398496241,8,2,351.67172625532834,1940.366204738617
sv,5,10,0.75,0.6841729323308272,9,8,436.62447143199137,1443.562522172928
sv,5,10,0.7999999999999999,0.689436090225564,5,1,536.2939749990414,1369.4911150932312
sv,5,10,0.85,0.6946992481203008,10,8,652.390562454646,1219.7607550621033
sv,5,10,0.9,0.6946992481203008,8,9,786.7271426037438,1162.5370590686798
sv,5,10,0.95,0.7052255639097745,9,3,941.3503512551916,894.4415390491486
sv,5,10,1.0,0.7052255639097745,8,8,1117.9112421988293,401.6038269996643
